Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,ATW,ATW,400.0,400.0,400.0,400.0,150.0,60000.0,3,86056335600.0
2023-04-04,ATW,ATW,400.0,400.0,402.0,400.0,19590.0,7836177.45,43,86056335600.0
2023-04-05,ATW,ATW,401.9,404.0,404.0,400.0,69967.0,27990143.55,39,86916898956.0
2023-04-06,ATW,ATW,403.95,400.0,403.95,398.05,110864.0,44345507.65,13,86056335600.0
2023-04-07,ATW,ATW,400.0,400.05,402.95,400.0,4621.0,1848668.75,14,86067092641.95
2023-04-10,ATW,ATW,400.0,400.0,400.1,400.0,92575.0,37030000.2,34,86056335600.0
2023-04-11,ATW,ATW,400.0,404.0,404.0,400.0,13237.0,5304514.0,23,86916898956.0
2023-04-12,ATW,ATW,400.0,400.05,403.95,396.6,14658.0,5890454.65,20,86067092641.95
2023-04-13,ATW,ATW,398.0,400.0,402.0,398.0,7019.0,2806941.4,13,86056335600.0
2023-04-14,ATW,ATW,400.0,400.05,402.0,400.0,884.0,353825.0,15,86067092641.95
2023-04-17,ATW,ATW,400.0,400.1,402.0,400.0,10339.0,4135922.9,20,86077849683.9
2023-04-18,ATW,ATW,400.0,400.0,400.0,400.0,21411.0,8564400.0,21,86056335600.0
2023-04-19,ATW,ATW,400.0,400.05,400.05,400.0,27845.0,11138375.0,23,86067092641.95
2023-04-20,ATW,ATW,400.0,400.0,405.0,400.0,3475.0,1392363.05,17,86056335600.0
2023-04-21,ATW,ATW,400.0,402.0,402.0,400.0,18900.0,7597560.0,16,86486617278.0
2023-04-25,ATW,ATW,401.75,405.0,405.0,400.1,21377.0,8640868.85,33,87132039795.0
2023-04-26,ATW,ATW,404.95,400.2,404.95,400.0,29767.0,11941542.75,30,86099363767.8
2023-04-27,ATW,ATW,400.2,403.0,403.0,397.0,5751.0,2305136.4,29,86701758117.0
2023-04-28,ATW,ATW,403.0,404.9,404.9,400.25,13695.0,5542803.5,26,87110525711.1
2023-05-02,ATW,ATW,404.9,400.1,404.9,400.0,9782.0,3915979.05,31,86077849683.9
2023-05-03,ATW,ATW,399.0,399.0,399.0,397.0,6248.0,2489307.0,34,85841194761.0
2023-05-04,ATW,ATW,397.0,398.0,398.0,397.0,3977.0,1581738.0,26,85626053922.0
2023-05-05,ATW,ATW,400.0,398.05,400.0,398.05,5474.0,2181671.45,7,85636810963.95
2023-05-08,ATW,ATW,398.1,396.0,398.85,396.0,6193.0,2458533.75,42,85195772244.0
2023-05-09,ATW,ATW,396.0,396.0,400.0,395.0,15126.0,6002322.25,40,85195772244.0
2023-05-10,ATW,ATW,396.35,397.5,399.9,396.35,15795.0,6285527.0,34,85518483502.5
2023-05-11,ATW,ATW,402.95,398.0,402.95,397.0,14396.0,5726994.55,20,85626053922.0
2023-05-12,ATW,ATW,398.0,406.0,409.95,398.0,55320.0,22426228.65,51,87347180634.0
2023-05-15,ATW,ATW,409.95,405.0,409.95,405.0,4655.0,1889377.5,27,87132039795.0
2023-05-16,ATW,ATW,403.05,412.0,415.0,403.05,32908.0,13525644.55,66,88638025668.0
2023-05-17,ATW,ATW,411.0,408.0,411.0,405.1,11914.0,4861184.7,27,87777462312.0
2023-05-18,ATW,ATW,405.55,405.0,410.0,405.0,14981.0,6078031.9,26,87132039795.0
2023-05-19,ATW,ATW,407.0,408.5,408.5,403.1,10995.0,4490321.8,15,87885032731.5
2023-05-22,ATW,ATW,404.0,407.9,407.9,403.15,2188.0,886265.5,11,87755948228.1
2023-05-23,ATW,ATW,404.2,408.0,409.95,404.2,6068.0,2476201.75,15,87777462312.0
2023-05-24,ATW,ATW,415.1,423.5,424.95,415.1,308775.0,130729004.5,142,91112145316.5
2023-05-25,ATW,ATW,418.15,418.05,421.0,418.0,22704.0,9494425.1,57,89939627743.95
2023-05-26,ATW,ATW,417.1,426.0,426.0,417.1,51243.0,21673766.1,52,91649997414.0
2023-05-29,ATW,ATW,423.05,425.0,425.95,422.0,31720.0,13479786.4,23,91434856575.0
2023-05-30,ATW,ATW,425.0,426.15,426.15,425.0,19089.0,8116928.95,76,91682268539.85
2023-05-31,ATW,ATW,424.0,427.5,428.25,424.0,107675.0,46030892.6,51,91972708672.5
2023-06-01,ATW,ATW,427.5,427.4,428.0,423.5,18301.0,7821195.3,35,91951194588.6
2023-06-02,ATW,ATW,422.05,435.0,435.0,422.0,43766.0,18762801.75,84,93586264965.0
2023-06-05,ATW,ATW,427.0,427.75,434.95,426.1,52146.0,22656547.55,37,92026493882.25
2023-06-06,ATW,ATW,430.0,429.0,430.0,427.5,13073.0,5608384.8,32,92295419931.0
2023-06-07,ATW,ATW,429.0,425.3,429.0,424.0,30461.0,12957879.75,37,91499398826.7
2023-06-08,ATW,ATW,426.0,427.0,428.95,426.0,209.0,89110.45,12,91865138253.0
2023-06-09,ATW,ATW,427.0,429.0,429.0,427.0,20738.0,8863926.0,40,92295419931.0
2023-06-12,ATW,ATW,425.0,425.2,429.0,425.0,3806.0,1618250.9,25,91477884742.8
2023-06-13,ATW,ATW,426.0,429.0,429.0,425.3,3914.0,1666872.4,28,92295419931.0
2023-06-14,ATW,ATW,429.0,434.95,434.95,426.8,108568.0,46752686.25,73,93575507923.05
2023-06-15,ATW,ATW,430.0,438.0,444.0,430.0,16414.0,7212322.3,89,94231687482.0
2023-06-16,ATW,ATW,436.0,440.0,444.0,432.05,16504.0,7249473.45,63,94661969160.0
2023-06-19,ATW,ATW,435.05,439.5,439.95,435.05,24339.0,10636371.75,54,94554398740.5
2023-06-20,ATW,ATW,437.0,449.9,455.5,435.0,123452.0,55665207.1,177,96791863466.1
2023-06-21,ATW,ATW,445.5,440.0,449.9,440.0,18099.0,7993965.55,100,94661969160.0
2023-06-22,ATW,ATW,438.1,439.0,444.9,438.1,19178.0,8431245.95,61,94446828321.0
2023-06-23,ATW,ATW,439.0,445.0,445.0,439.0,87213.0,38753617.05,44,95737673355.0
2023-06-26,ATW,ATW,440.05,440.0,445.0,440.0,11580.0,5096093.8,41,94661969160.0
2023-06-27,ATW,ATW,438.25,443.0,443.0,438.25,5756.0,2542966.05,27,95307391677.0
2023-06-28,ATW,ATW,440.0,444.0,445.0,440.0,39795.0,17650683.75,71,95522532516.0
2023-07-03,ATW,ATW,440.0,430.25,440.0,423.05,3304.0,1429180.85,47,92564345979.75
2023-07-04,ATW,ATW,431.1,435.0,435.0,430.6,8351.0,3599291.75,44,93586264965.0
2023-07-05,ATW,ATW,435.0,439.8,439.8,435.0,8013.0,3508669.5,32,94618940992.2
2023-07-06,ATW,ATW,438.9,437.5,438.9,437.0,38893.0,17015693.0,35,94124117062.5
2023-07-07,ATW,ATW,436.0,433.0,437.45,431.0,17712.0,7669605.05,34,93155983287.0
2023-07-10,ATW,ATW,431.5,433.0,434.9,431.1,10291.0,4446350.75,29,93155983287.0
2023-07-11,ATW,ATW,430.3,433.0,434.5,430.3,12224.0,5270606.65,21,93155983287.0
2023-07-12,ATW,ATW,430.7,435.5,435.6,430.7,35104.0,15243556.1,32,93693835384.5
2023-07-13,ATW,ATW,435.0,435.0,437.0,432.5,23398.0,10177155.7,37,93586264965.0
2023-07-14,ATW,ATW,435.0,437.15,437.15,435.0,27238.0,11876281.45,26,94048817768.85
2023-07-17,ATW,ATW,437.0,438.05,438.05,435.2,41641.0,18229836.35,36,94242444523.95
2023-07-18,ATW,ATW,436.0,442.0,443.0,436.0,68908.0,30310557.65,67,95092250838.0
2023-07-20,ATW,ATW,442.0,444.05,444.95,440.0,54784.0,24312460.8,62,95533289557.95
2023-07-21,ATW,ATW,444.0,445.2,446.0,443.05,39986.0,17784040.0,73,95780701522.8
2023-07-24,ATW,ATW,443.05,444.1,444.1,440.05,4898.0,2162816.05,25,95544046599.9
2023-07-25,ATW,ATW,443.5,447.95,447.95,443.5,38638.0,17296307.85,80,96372338830.05
2023-07-26,ATW,ATW,447.0,446.0,447.95,444.5,36932.0,16475646.45,60,95952814194.0
2023-07-27,ATW,ATW,446.0,450.5,454.0,446.0,37423.0,16828867.45,118,96920947969.5
2023-07-28,ATW,ATW,446.1,452.0,452.0,446.1,15738.0,7092958.0,63,97243659228.0
