asof,last_close,entry_low,entry_high,target,stop,expected_return_pct,risk_reward_ratio,atr_mad,confidence,return_1m_pct,return_3m_pct,return_6m_pct,pct_below_52w_high,atr_ratio_pct,news_count,avg_news_score,outcome,bars_to_resolution,realized_return_pct,max_runup_pct,max_drawdown_pct,skip_reason
2023-05-03,399.0,399.0,399.0,405.0,391.7,1.5,0.82,3.65,MEDIUM,,,,1.48,0.915,0,0.0,TARGET,7,1.5,7.33,-1.0,
2023-05-04,398.0,398.0,398.0,405.0,391.47,1.76,1.07,3.26,MEDIUM,-0.5,,,1.73,0.82,0,0.0,TARGET,6,1.76,7.6,-0.75,
2023-05-05,398.05,398.0,398.05,405.0,391.76,1.75,1.1,3.12,MEDIUM,-0.49,,,1.72,0.784,0,0.0,TARGET,5,1.75,9.28,-0.77,
2023-05-08,396.0,396.0,396.0,405.0,389.64,2.27,1.41,3.18,MEDIUM,-1.98,,,2.22,0.804,0,0.0,TARGET,4,2.27,9.85,-0.25,
2023-05-09,396.0,396.0,396.0,405.0,389.21,2.27,1.32,3.4,MEDIUM,-1.0,,,2.22,0.858,0,0.0,TARGET,3,2.27,9.85,0.09,
2023-05-10,397.5,396.0,397.5,405.0,388.66,1.89,0.85,3.67,MEDIUM,-0.64,,,1.85,0.923,0,0.0,TARGET,2,1.89,9.43,-0.13,
2023-05-11,398.0,396.0,398.0,405.0,387.82,1.76,0.69,4.09,MEDIUM,-0.5,,,1.73,1.027,0,0.0,TARGET,1,1.76,9.3,0.0,
2023-05-12,406.0,401.41,406.0,406.0,392.24,0.0,0.0,4.59,MEDIUM,0.5,,,0.0,1.129,0,0.0,TARGET,1,0.0,7.14,-0.73,
2023-05-15,405.0,400.2,405.0,406.0,390.61,0.25,0.07,4.8,MEDIUM,1.24,,,0.25,1.184,0,0.0,TARGET,1,0.25,7.41,-0.48,
2023-05-16,412.0,406.7,412.0,412.0,396.1,0.0,0.0,5.3,MEDIUM,3.0,,,0.0,1.286,0,0.0,TARGET,6,0.0,5.58,-2.16,
2023-05-17,408.0,402.56,408.0,412.0,391.69,0.98,0.25,5.44,MEDIUM,1.99,,,0.97,1.332,0,0.0,TARGET,5,0.98,6.62,-1.2,
