entry_date,entry_price,exit_date,exit_price,outcome,bars_held,return_pct,confidence,capital_before,capital_after
2023-05-03,399.0,2023-05-12,405.0,TARGET,7,1.5,MEDIUM,10000.0,10150.0
2023-05-15,405.0,2023-05-16,406.0,TARGET,1,0.25,MEDIUM,10150.0,10175.37
2023-05-17,408.0,2023-05-24,412.0,TARGET,5,0.98,MEDIUM,10175.37,10275.09
2023-05-25,418.05,2023-05-26,423.5,TARGET,1,1.3,MEDIUM,10275.09,10408.67
2023-05-29,425.0,2023-05-30,426.0,TARGET,1,0.24,MEDIUM,10408.67,10433.65
2023-05-31,427.5,2023-06-01,427.5,TARGET,1,0.0,MEDIUM,10433.65,10433.65
2023-06-02,435.0,2023-06-15,435.0,TARGET,9,0.0,MEDIUM,10433.65,10433.65
2023-06-16,440.0,2023-06-20,440.0,TARGET,2,0.0,MEDIUM,10433.65,10433.65
2023-06-21,440.0,2023-07-24,444.09,EXPIRED,20,0.93,MEDIUM,10433.65,10530.68
2023-07-25,447.95,2023-07-27,449.9,TARGET,2,0.44,MEDIUM,10530.68,10577.02
2023-07-28,452.0,2023-07-31,452.0,TARGET,1,0.0,MEDIUM,10577.02,10577.02
2023-08-01,460.0,2023-08-02,460.0,TARGET,1,0.0,MEDIUM,10577.02,10577.02
2023-08-03,456.5,2023-09-04,451.98,EXPIRED,20,-0.99,MEDIUM,10577.02,10472.31
2023-09-05,450.5,2023-09-12,437.78,STOP,5,-2.82,MEDIUM,10472.31,10176.99
2023-09-13,441.0,2023-10-05,461.0,TARGET,14,4.54,MEDIUM,10176.99,10639.02
2023-10-06,472.0,2023-11-03,460.01,EXPIRED,20,-2.54,MEDIUM,10639.02,10368.79
2023-11-07,463.0,2023-12-05,458.0,EXPIRED,20,-1.08,MEDIUM,10368.79,10256.81
2023-12-06,458.0,2024-01-04,467.62,EXPIRED,20,2.1,MEDIUM,10256.81,10472.2
